BAMid,Approach Vertical,Vertical Jump,3/4 Court sprint  ,4-Way agility,Reaction Shuttle,BAMScore,Wingspan,Reach,Height,Weight,Body Comp,Hand Width,approach_vertical_rank,vertical_jump_rank,reaction_shuttle_rank,bam_score_rank,wingspan_rank,reach_rank,height_rank,weight_rank,body_comp_rank,hand_width_rank,fourway_rank,courtsprint_rank
1207,30.5,24.0,3.576,12.103,3.668,1821.0,80.5,102.0,78.0,210.8,20.0,9.0,3,3,4,3,4,4,4,5,4,4,3,4
1256,35.0,27.5,3.392,12.032,3.665,1925.0,81.5,101.5,77.0,206.5,22.5,9.5,4,4,4,4,4,4,4,4,5,4,3,3
861,29.0,25.5,,,,2000.0,,,,,,,3,3,1,4,1,1,1,1,1,1,1,1
1479,25.5,22.0,3.388,13.134,4.875,1561.0,72.25,92.5,69.75,153.8,8.3,7.75,2,2,5,1,2,2,2,3,2,2,5,3
1048,25.0,19.0,3.505,12.338,3.207,1798.0,73.0,96.0,71.5,147.0,12.9,7.5,2,1,2,3,3,3,3,2,3,1,4,4
406,29.5,24.0,3.217,12.285,4.105,1966.0,76.0,98.5,76.5,179.0,19.3,9.0,3,3,5,4,3,3,4,3,4,4,4,3
1097,37.5,28.0,3.172,11.413,3.244,2128.0,76.0,97.0,75.5,176.0,13.1,8.25,5,4,3,5,3,3,4,3,3,3,2,3
542,31.5,25.5,3.611,11.941,3.827,1803.0,72.5,91.5,70.0,147.8,12.8,8.5,3,3,5,3,2,2,3,2,3,3,3,4
1130,36.5,33.0,3.621,,3.057,2207.0,78.25,100.0,76.0,168.9,4.0,8.5,5,5,2,5,4,4,4,3,2,3,1,4
1317,29.5,23.5,3.573,12.658,3.767,1752.0,81.0,105.5,79.0,208.8,10.8,8.5,3,3,4,2,4,5,4,4,3,3,4,4
752,31.0,25.0,3.386,11.84,3.661,1887.0,72.5,91.5,68.0,126.0,6.5,8.0,3,3,4,3,2,2,2,2,2,2,3,3
793,32.0,28.0,3.255,11.489,3.164,2051.0,77.0,102.0,77.5,189.0,17.9,9.5,4,4,2,5,3,4,4,4,4,4,2,3
241,32.0,28.5,3.381,12.023,3.53,1941.0,78.5,99.5,75.0,199.0,20.5,9.0,4,4,4,4,4,4,3,4,5,4,3,3
770,30.5,26.5,3.793,13.493,3.686,1704.0,82.0,103.0,78.5,182.0,14.6,8.0,3,4,4,2,4,4,4,4,3,2,5,4
595,31.5,24.5,3.382,12.682,3.862,1977.0,81.0,103.5,75.5,172.0,7.8,8.25,3,3,5,4,4,4,4,3,2,3,4,3
1254,29.5,22.0,3.626,12.321,3.369,1850.0,79.5,102.0,79.0,183.9,6.8,8.25,3,2,3,3,4,4,4,4,2,3,4,4
569,31.0,26.0,4.425,12.125,3.53,1699.0,80.0,102.0,76.75,163.5,6.0,8.5,3,4,4,2,4,4,4,3,2,3,3,5
517,40.0,32.0,,,,2298.0,,,,,,,5,5,1,5,1,1,1,1,1,1,1,1
529,27.5,20.5,3.575,14.564,3.553,1609.0,81.0,104.0,77.5,268.0,30.1,9.0,2,2,4,1,4,4,4,5,5,4,5,4
1390,31.0,25.0,3.402,12.326,3.237,1929.0,80.5,106.5,80.0,197.0,16.2,10.25,3,3,3,4,4,5,4,4,4,5,4,3
532,36.5,26.5,3.643,13.11,3.47,1848.0,79.75,99.5,77.5,184.7,8.4,8.25,5,4,3,3,4,4,4,4,2,3,5,4
544,28.0,22.0,3.411,12.206,3.44199999999999,1849.0,84.0,105.5,80.0,224.2,29.2,9.25,2,2,3,3,5,5,4,5,5,4,3,3
